Z13,Z19,MeanZ13,MeanZ19,OuterEdgeLengthZ13,OuterEdgeLengthZ19,SurfaceZ13,SurfaceZ19,VarianceZ13,VarianceZ19,Max_DeviationZ13,Max_DeviationZ19,Min_DeviationZ13,Min_DeviationZ19,Span_DeviationZ13,Span_DeviationZ19,Fi_liZ13,Fi_liZ19,Fi_reZ13,Fi_reZ19,fl_liZ13,fl_liZ19,fl_reZ13,fl_reZ19,fk_liZ13,fk_liZ19,fk_reZ13,fk_reZ19,fi_liZ13,fi_liZ19,fi_reZ13,fi_reZ19
122.0,38.0,2649.649222,1825.525268,0.043431319,9.417090224,6.49e-07,0.000124269,7754473417,2532849086,7.438345498,7.428322172,0.209087473,0.187546093,7.229258025,7.24077608,17.037087,9992.15046,12.522935,9991.55763,4.960866,9.46825,5.429299,10.28307,14.070486,9992.66866,7.975405,9999.41234,12.387623,9992.15046,7.799806,9991.55763
126.0,36.0,2649.647308,1825.498076,0.043187272,9.28436724,6.15e-07,0.000119372,7754473427,2532849185,7.438684462,7.428211199,0.209017161,0.187489251,7.2296673,7.240721948,13.051229,10021.322,12.095602,10017.64795,3.758544,17.3222,5.120933,13.18659,9.88686,10021.92565,7.638762,10018.16055,9.172451,10021.322,7.226498,10017.64795
126.0,93.0,2649.647308,1825.519521,0.043187272,9.377440835,6.15e-07,0.000122491,7754473427,2532849107,7.438684462,7.428447064,0.209017161,0.187451698,7.2296673,7.240995365,13.051229,9999.05912,12.095602,9998.91144,3.758544,12.71339,5.120933,10.90643,9.88686,10007.05559,7.638762,10000.39636,9.172451,9999.05912,7.226498,9998.91144
129.0,14.0,2649.645825,1825.543367,0.051663981,9.314775717,7.85e-07,0.000123539,7754473435,2532849020,7.438824408,7.428479801,0.209051991,0.187549541,7.229772417,7.240930261,22.47734,9993.87076,17.012156,9993.0949,7.130688,14.29474,7.113101,13.01466,19.000001,9995.28085,13.615645,9993.24007,17.978832,9993.87076,15.056166,9993.0949
131.0,7.0,2649.657135,1825.524945,0.041749689,9.383583198,6.05e-07,0.000121908,7754473375,2532849087,7.438758145,7.428579675,0.209097433,0.187435361,7.229660712,7.241144314,13.556812,9998.9547,13.162863,9998.3739,5.735658,20.72706,4.895403,18.15892,9.202299,10006.84587,8.747465,9999.00216,8.868411,9998.9547,8.690404,9998.3739
132.0,61.0,2649.641292,1825.499193,0.041588436,9.384334102,5.95e-07,0.000122412,7754473459,2532849181,7.438363039,7.428537651,0.209017979,0.187448114,7.229345061,7.241089536,13.105461,10016.80111,9.972859,10015.03989,3.598048,14.96233,2.976886,13.3569,11.069515,10016.72413,7.075746,10015.07857,10.501866,10016.80111,7.07455,10015.03989
134.0,1.0,2649.644898,1825.501856,0.040544558,9.432067082,5.91e-07,0.000122275,7754473440,2532849171,7.438689051,7.428532949,0.20906282,0.187521818,7.229626231,7.241011131,16.390718,10015.17376,12.739444,10012.42008,5.926603,13.43068,5.566661,11.78851,20.247195,10015.96249,8.842371,10014.47703,13.759421,10015.17376,8.636608,10012.42008
142.0,46.0,2649.640805,1825.496705,0.052270242,9.290603648,7.72e-07,0.000121201,7754473461,2532849190,7.438686017,7.428520646,0.209094625,0.187534169,7.229591392,7.240986477,12.409166,10011.25944,10.914573,10010.99085,4.473126,10.25953,5.554913,8.0054,12.246333,10011.98941,6.507681,10011.95449,12.262164,10011.25944,7.314494,10010.99085
143.0,84.0,2649.647609,1825.531479,0.038561918,9.349256528,5.4e-07,0.00012333,7754473425,2532849063,7.438288627,7.42864799,0.209117233,0.18754928,7.229171394,7.24109871,15.20824,9990.70741,11.643527,9988.6875,3.888816,15.98729,3.614253,15.93057,16.388743,9991.70889,8.810261,9990.46975,11.8508,9990.70741,7.606302,9988.6875
146.0,32.0,2649.642937,1825.499077,0.045492656,9.367970767,6.49e-07,0.000123044,7754473450,2532849181,7.438671571,7.42894127,0.209037884,0.187423708,7.229633688,7.241517562,52.764155,10000.97435,14.055487,9996.3211,7.026355,3.81876,6.922232,5.28856,51.128333,10003.81618,8.013795,9998.23376,51.099944,10000.97435,7.862697,9996.3211
160.0,96.0,2649.646772,1825.493594,0.035793602,9.163370403,4.97e-07,0.00011905,7754473430,2532849201,7.438650743,7.428515015,0.208989139,0.187517995,7.229661604,7.240997021,21.919643,10022.18581,12.965798,10019.90868,6.274331,11.96544,5.891705,9.15032,17.148066,10022.21134,7.655439,10020.29193,16.543477,10022.18581,7.378339,10019.90868
163.0,21.0,2649.643434,1825.509087,0.034566706,9.264099435,4.62e-07,0.000121071,7754473447,2532849145,7.438757193,7.428541922,0.208985623,0.187498344,7.22977157,7.241043579,19.532569,10009.69611,11.188444,10009.12096,3.261879,14.476,3.853141,15.74002,17.201135,10012.02928,7.686158,10009.43844,17.181294,10009.69611,7.373887,10009.12096
163.0,50.0,2649.643434,1825.517209,0.034566706,9.315591715,4.62e-07,0.000122042,7754473447,2532849115,7.438757193,7.428624229,0.208985623,0.187446036,7.22977157,7.241178193,19.532569,9994.88214,11.188444,9993.50946,3.261879,8.61182,3.853141,6.92016,17.201135,9996.36136,7.686158,9994.09981,17.181294,9994.88214,7.373887,9993.50946
